Locality,References,log fO2 (dFMQ),log fO2 (dFMQ)_1std,Analysis,Method,Remarks 1,U-Pb Age,Ti-in-zirc Temp C,P,Ti,Fe,Sr,Sc,Y,Nb,Hf,Ta,Pb,Th,U,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu
Bandelier high-siica rhyolite,"Lu et al., 2016",0,0,478_1,ArF LA-ICPMS,,0.79,,842,2,,,,14120,145,27260,,0.36,3690,7620,24.4,160,11.4,58,38.6,0.13,170.5,63.2,795,288.4,1302,240.5,1984,359
Bandelier high-siica rhyolite,"Lu et al., 2016",0,0,478_2,ArF LA-ICPMS,,1.03,,730,1.4,,,,13780,148.5,25120,,0.206,2940,7540,5.2,103.4,2.77,15.4,25.4,,159.9,58.9,761,276.4,1261,233.4,1934,352
Bandelier high-siica rhyolite,"Lu et al., 2016",0,0,478_3,ArF LA-ICPMS,,1.66,,706,1.6,,,,12380,390,23220,,0.247,3220,8550,12.2,167.2,5.7,29.5,23.2,0.02,146.2,54.7,695,253.6,1134,209.6,1716,306.9
Bandelier high-siica rhyolite,"Lu et al., 2016",0,0,478_4,ArF LA-ICPMS,,7.86,,515,12.2,,,,1670,7.93,18490,,0.268,242.3,239,1.53,56.8,0.52,4.14,4.3,1.69,26.6,9.51,114.3,45.7,228.4,48.2,454,97.3
Bandelier high-siica rhyolite,"Lu et al., 2016",0,0,478_7,ArF LA-ICPMS,,,,310,13.1,,,,699,2.68,17980,,0.058,41.8,60,0.0041,17.31,0.075,1.46,2.58,1.07,13.8,4.78,60.8,23.2,116.4,23,221,46.9
Bandelier high-siica rhyolite,"Lu et al., 2016",0,0,478_8,ArF LA-ICPMS,,0.48,,583,4.9,,,,13210,296.8,27160,,0.237,5055,9120,0.488,113.1,0.509,6.4,19.6,0.044,140.8,56.3,719,267.8,1221,224.8,1870,336.4
Bandelier high-siica rhyolite,"Lu et al., 2016",0,0,478_9,ArF LA-ICPMS,,0.72,,491,2.3,,,,9440,356,26340,,0.21,1940,7450,0.0078,103.6,0.16,2.95,11.2,0.017,97.6,39,522,189.1,869,164.2,1387,253.1
Bandelier high-siica rhyolite,"Lu et al., 2016",0,0,478_10,ArF LA-ICPMS,,5.04,,557,5,,,,12160,110.8,24800,,1.58,2710,6640,0.89,72.4,0.49,6.25,19,0.104,136.1,52,667,243,1114,207.2,1738,312
Bandelier high-siica rhyolite,"Lu et al., 2016",0,0,478_21,ArF LA-ICPMS,,,,290,67,,,,1155,4.72,7400,,0.5,65.6,73.8,2,19.3,0.46,4,8.8,2.6,31.7,10.2,100,37.8,156,35.3,270,54
Bandelier high-siica rhyolite,"Lu et al., 2016",0,0,478_23,ArF LA-ICPMS,,23.52,,377,31.9,,,,8190,374,20300,,7.2,5710,9210,4.65,100.7,1.5,7.4,12.5,,89,34.8,446,160,730,137,1140,205
