ï»¿Locality,References,log fO2 (dFMQ),log fO2 (dFMQ)_1std,Analysis,Method,Remarks 1,U-Pb Age,Ti-in-zirc Temp C,P,Ti,Y,Nb,Hf,Th,U,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,log fO2 (dFMQ).1,log fO2 (dFMQ)_1std.1,Th/U
Bandelier high-siica rhyolite,"Lu et al., 2016",0.0,0.0,478_7,ArF LA-ICPMS,,,,5.736572297479192,2.5726122302071057,6.54965074223381,0.9858167945227654,9.79701530802561,3.7328963395307104,4.0943445622221,-5.496768305271875,2.851284369188118,-2.5902671654458267,0.37843643572024505,0.9477893989335261,0.06765864847381486,2.624668592163159,1.5644405465033646,4.107589788972121,3.1441522786722644,4.757032535297338,3.1354942159291497,5.3981627015177525,3.8480176754522337,0.0,0.0,0.6966666666666667
Bandelier high-siica rhyolite,"Lu et al., 2016",0.0,0.0,478_8,ArF LA-ICPMS,,0.48,,6.368187186350492,1.589235205116581,9.488729397516371,5.693058511293225,10.209500581672632,8.528133131454572,9.118225083068378,-0.7174398731289899,4.728272383122075,-0.6753072624316143,1.8562979903656263,2.975529566236472,-3.123565645063876,4.9473404437239425,4.030694535145645,6.577861357721047,5.5902404332570725,7.107425474110705,5.415211118019536,7.533693709848633,5.818300928098793,0.0,0.0,0.5542763157894737
Bandelier high-siica rhyolite,"Lu et al., 2016",0.0,0.0,478_9,ArF LA-ICPMS,,0.72,,6.19644412779452,0.8329091229351039,9.152711259139547,5.87493073085203,10.178843975297273,7.570443252057374,8.915969311373605,-4.853631545286591,4.640537329825382,-1.8325814637483102,1.0818051703517284,2.4159137783010487,-4.074541934925921,4.580877493419047,3.6635616461296463,6.257667587882639,5.242275975664412,6.767343125265392,5.101085197018328,7.234898420314831,5.533784667551078,0.0,0.0,0.26040268456375837
Bandelier high-siica rhyolite,"Lu et al., 2016",0.0,0.0,478_10,ArF LA-ICPMS,,5.04,,6.322565239927284,1.6094379124341003,9.405907155520158,4.707726774313183,10.118598932153073,7.904703913873747,8.80086724247048,-0.11653381625595151,4.282206299391671,-0.7133498878774648,1.8325814637483102,2.9444389791664403,-2.2633643798407643,4.91338990965742,3.9512437185814275,6.502790045915623,5.493061443340548,7.01571242048723,5.333684510385328,7.460490305825338,5.7430031878094825,0.0,0.0,0.40813253012048195
Bandelier high-siica rhyolite,"Lu et al., 2016",0.0,0.0,478_24,ArF LA-ICPMS,,2.19,,6.248042874508429,1.4816045409242156,9.443830215344537,5.820082930352362,10.196157166498947,8.143226750367445,9.072227069846548,-0.31471074483970024,4.735320870453137,-0.8007323912398827,1.824549292051046,2.8507065015037334,-2.385966701933097,4.923623917106626,3.9871304779149512,6.53813982376767,5.536546555280287,7.050122520269059,5.371103036273684,7.497207223203318,5.793013608384144,0.0,0.0,0.3949483352468427
Bandelier high-siica rhyolite,"Lu et al., 2016",0.0,0.0,478_27,ArF LA-ICPMS,,6.91,,7.01571242048723,1.5260563034950492,8.794824928014517,2.6871669901857858,10.186408307886198,6.220590170099739,6.440946540632921,-6.319968614080018,4.254193263163997,-1.8971199848858813,1.184789984909162,2.312535423847214,0.5596157879354227,4.204692619390966,3.2722270003651954,5.834810737062605,4.885827643502908,6.456769655572163,4.861361591348501,7.048386408721883,5.46848199307136,0.0,0.0,0.8022328548644339
Bandelier high-siica rhyolite,"Lu et al., 2016",0.0,0.0,478_33,ArF LA-ICPMS,,7.98,,5.777652323222656,1.308332819650179,8.27893600229198,1.572773928062509,9.663960521971394,4.932313327320786,5.083265985131163,-2.7646205525906042,3.391147045808654,-0.18632957819149348,2.631888840136646,2.8213788864092133,-0.10536051565782628,4.3294166844015844,3.139832617527748,5.484796933490655,4.407938016458383,5.8805329864007,4.180522258463153,6.315358001522335,4.683056724645162,0.0,0.0,0.8598884066955982
Bandelier high-siica rhyolite,"Lu et al., 2016",0.0,0.0,478_34,ArF LA-ICPMS,,,,5.634789603169249,2.501435951739211,6.606650186198215,0.9745596399981308,9.804219550877459,3.730501128804756,4.180522258463153,-4.268697949366879,2.75429745226753,-3.036554268074246,0.06765864847381486,0.9707789171582248,0.09531017980432493,2.681021528714291,1.6563214983329508,4.168214410788556,3.1654750481410856,4.788324729085938,3.2160718975354663,5.459585514144159,3.9219733362813143,0.0,0.0,0.6376146788990825
Bandelier high-siica rhyolite,"Lu et al., 2016",0.0,0.0,478_35,ArF LA-ICPMS,,1.33,,6.621405651764134,1.1314021114911006,8.933268478636418,4.414009680526933,10.12543038327382,6.668228248417403,8.382518288089635,-2.234926444520231,3.2733640101522705,-1.8325814637483102,1.0612565021243408,2.424802725718295,-3.7297014486341915,4.375757021660286,3.4436180975461075,5.988961416889864,5.03760174232607,6.56244409369372,4.900076103529192,7.0909098220799835,5.38632824387075,0.0,0.0,0.18009153318077803
"Bishop tuff, USA",Reid et al. 2012,0.78,0.35,BT4_246_g1s1,Cameca ims-1270 ion probe,,0.76,765.2875534,7.177553450289849,1.022011241126511,8.310494818351005,0.580856526535451,9.465013029421375,6.908976505980798,7.878305718526188,-3.2201960209436673,3.5088392550433984,-2.7299384659290857,0.5026444381441224,1.7736059330333855,-2.9318015933643045,3.8536083939139467,3.0988439780804296,5.680490854958486,4.851790199168881,6.386388546428054,4.902537792603828,7.065138763375425,5.550095443771602,0.78,0.35,0.3793374075539942
"Bishop tuff, USA",Reid et al. 2012,0.78,0.35,BT4_246_g2s1,Cameca ims-1270 ion probe,,0.76,757.4402491,7.137382171148521,0.9343555351265046,8.333490758050926,2.5880088171069096,9.473215069996455,7.061734949616728,7.950270388501513,-3.023830065191485,3.578752469369262,-2.7090904619859937,0.5386236857458153,1.8412828342225969,-2.939860424761814,3.9386733334181825,3.1489221583941043,5.717454232797195,4.89178633254266,6.411764015170931,4.935972886117547,7.08660170365967,5.564927329882462,0.78,0.35,0.4112576238304732
"Bishop tuff, USA",Reid et al. 2012,0.78,0.35,BT4_246_g3s1,Cameca ims-1270 ion probe,,0.76,750.8529133,7.231085863984479,0.8597366604648797,8.418685194641032,1.384781513270407,9.469765593994227,7.174876647390155,8.032402052860052,-3.3121869216711146,3.6830252358182967,-2.376651516780144,0.6135824248991464,1.9204674299732538,-3.0234616228655127,3.9902822352192926,3.21949172516267,5.79284229005146,4.963917428731666,6.4879314476888315,5.016181978097131,7.168245563260466,5.645871229509863,0.78,0.35,0.4242105336028809
"Bishop tuff, USA",Reid et al. 2012,0.78,0.35,BT4_246_g4s1,Cameca ims-1270 ion probe,,0.76,762.2215963,7.150112289557316,0.9879221390422915,8.287614382175102,0.23647051995872603,9.479945847783481,6.882300956346813,7.893198002056364,-3.0398610210270918,3.475528556618564,-2.6840272419479527,0.45684730181072036,1.796509916299437,-2.823093544395381,3.868386822291062,3.112952392580311,5.677345716778346,4.850731170462995,6.378335355587963,4.890216985656723,7.058556347118631,5.54837122720287,0.78,0.35,0.36389240499662157
"Bishop tuff, USA",Reid et al. 2012,0.78,0.35,BT4_246_g5s1,Cameca ims-1270 ion probe,,0.76,742.6984704,7.210078271924488,0.7660257218445838,8.392060912759257,1.3985542388573835,9.474105242060617,7.045193622151212,7.995197263452127,-3.280381217261688,3.6108760417676518,-2.5156680596322736,0.4589896682697942,1.9385288638437694,-2.8483941292982675,3.975355699786234,3.2151877193603893,5.778934999622253,4.93426995837242,6.466016441826268,4.981449236636743,7.139989471326051,5.6164669357776695,0.78,0.35,0.38673961521662265
"Bishop tuff, USA",Reid et al. 2012,0.78,0.35,BT4_246_g6s1,Cameca ims-1270 ion probe,,0.76,756.2932645,7.154168242128993,0.921431585413399,8.25122350921435,0.41822134272636247,9.457100208946251,6.7530112774243465,7.795793301695719,-3.0648270573766854,3.3871912454050186,-2.8656202377725832,0.44258681026298696,1.5979271816319076,-2.6383467941054115,3.786218031237865,3.0212331516049336,5.6160571086552515,4.791987057033135,6.345770271862113,4.864406525132204,7.040454616294626,5.52934486531404,0.78,0.35,0.3524727289965595
"Bishop tuff, USA",Reid et al. 2012,0.78,0.35,BT4_246_g7s1,Cameca ims-1270 ion probe,,0.76,745.5211101,6.907447566243428,0.7986333066284537,8.017411400412218,0.7835055529265761,9.477125915094055,6.213093529441424,7.41497434352495,-2.6482742027942807,3.073582466499686,-2.672189332641885,0.298161490293938,1.5121128767702883,-2.8063227624290534,3.537765258000281,2.7743042910596953,5.3599089536439966,4.533217299583384,6.080471728321408,4.620726770412801,6.790687169567575,5.290903221574843,0.78,0.35,0.30062825399421045
"Bishop tuff, USA",Reid et al. 2012,0.78,0.35,BT4_246_g8s1,Cameca ims-1270 ion probe,,0.76,744.3785896,7.142638172982418,0.7854565200707149,8.260179883869142,0.3924550659698596,9.464788528110052,6.851228470249447,7.806012519292232,-3.2241674759908805,3.463145934224801,-2.6782575087393647,0.47786825806847616,1.6354727569012772,-3.73206131426137,3.8179278359197775,3.0396780138562796,5.6192091617170234,4.784456659907544,6.321117443542672,4.836220403472876,6.98603984017536,5.4698007170148575,0.78,0.35,0.3848952540774102
"Bishop tuff, USA",Reid et al. 2012,0.78,0.35,BT4_246_g9s1,Cameca ims-1270 ion probe,,0.76,759.4058968,7.189474298218518,0.9564372194429541,8.417984393526801,0.0774387980959712,9.464878334527718,7.101220794730792,7.9734695040361,-3.2307861722995224,3.692233306159354,-2.3930039379050894,0.6559734682701033,1.8906941510666777,-2.851442700731895,4.008054339501848,3.2112062031675497,5.790249543092359,4.946796010746064,6.4625278801380235,4.973746689755366,7.1281670720400685,5.612552055100922,0.78,0.35,0.41801050746163
"Bishop tuff, USA",Reid et al. 2012,0.78,0.35,BT4_246_g10s1,Cameca ims-1270 ion probe,,0.76,769.1598869,7.0545606398844285,1.0647795053174882,8.118280295903519,0.7683521411514184,9.490222958358911,6.66229756371228,7.713083495479975,-2.740921216721247,3.2751728100294253,-2.423020634686214,0.36184274621674856,1.6213468789570127,-3.6421027823271426,3.618236472747778,2.8685834795992298,5.473908594571583,4.6554423894897345,6.192533978859706,4.708958706508752,6.883692123489573,5.376070141865112,0.78,0.35,0.34966282996540937
"Bishop tuff, USA",Reid et al. 2012,0.78,0.35,BT4_246_g1s2,Cameca ims-1270 ion probe,,0.76,768.4323341,7.153566675207914,1.0567682574629127,8.477585606077561,1.902419237612083,9.394027930364997,7.285679028506751,8.03697003155993,-3.064182370940887,3.995610660682197,-2.3583028873776306,0.8855159030398765,2.1040082084125316,-2.5935923811862596,4.1327810469550545,3.3054671867304917,5.863397690388001,5.007413199386516,6.529322382807628,5.025528281621487,7.1845722708872914,5.668970662267187,0.78,0.35,0.4717571195539034
"Bishop tuff, USA",Reid et al. 2012,0.78,0.35,BT4_246_g2s2,Cameca ims-1270 ion probe,,0.76,761.4153737,7.089220839515806,0.9789245350626489,8.29960970425786,2.848405794679777,9.403658500076636,6.878375078644323,7.751432125690832,-3.558425742695257,3.732197467146622,-2.0260254611978237,0.6645870568179799,1.9807939954834004,-2.4629537125368635,3.9332759873141914,3.103415629827492,5.685769847293822,4.834454473131589,6.360150047977917,4.889208009724449,7.038073530618608,5.536928871077177,0.78,0.35,0.417672750321543
"Bishop tuff, USA",Reid et al. 2012,0.78,0.35,BT4_246_g3s2,Cameca ims-1270 ion probe,,0.76,752.5981279,7.221310083750466,0.8795991189051298,8.452278324055976,2.409009433778414,9.378359627558163,7.1531200394835945,7.9649163036537,-3.3189844061091764,3.8594022541489013,-2.047916673413332,0.7983682246420637,2.0167818807784195,-2.816388796841719,4.066086480653194,3.2673815756435967,5.840967524621736,5.005712691946611,6.530804539632275,5.046579647763774,7.191639224422674,5.6809982609054845,0.78,0.35,0.4440597008700064
"Bishop tuff, USA",Reid et al. 2012,0.78,0.35,BT4_246_g5s2,Cameca ims-1270 ion probe,,0.76,763.814574,7.244670164762611,1.0056589542537995,8.469194230223165,1.9304976837417103,9.380996212292288,7.139564397976817,7.977740108980272,-3.572393543805456,3.8719456831540096,-2.542151400060714,0.7426295983998391,1.9297187072729276,-1.904860351044244,4.063858031855535,3.285392783357285,5.837293397446218,4.986589679607466,6.541420620001657,5.036259378423158,7.18998263573526,5.661552443831808,0.78,0.35,0.4324988069965637
"Bishop tuff, USA",Reid et al. 2012,0.78,0.35,BT4_246_g6s2,Cameca ims-1270 ion probe,,0.76,760.6914125,6.983152574030334,0.9708330255428247,8.490463462217063,0.410646721368255,9.395438288613892,7.028605362878313,7.757704968446236,-3.032613999471876,3.953636837786056,-1.6204040968418152,1.409913950910078,2.3808715803381277,-2.3653033624619897,4.2394668634732655,3.3936979890478534,5.919923420324641,5.043007873110961,6.550890956969652,5.0283275222095885,7.180769168962435,5.657029253259529,0.78,0.35,0.4823430936645403
"Bishop tuff, USA",Reid et al. 2012,0.78,0.35,BT4_246_g7s2,Cameca ims-1270 ion probe,,0.76,760.6887972,6.952158235318488,0.9708037748038164,8.210970429457742,-0.2959607760850236,9.379765230210444,6.653080074313515,7.601316670744777,-3.2487655038434147,3.6953158822974825,-2.563345870733795,0.7041028880308473,1.66110349633331,-2.8816672879540186,3.760380922106566,2.9802607788273927,5.539420927796949,4.730677587325438,6.25703689593483,4.7664453386660615,6.938159205558884,5.419928310406552,0.78,0.35,0.3874236056124655
"Bishop tuff, USA",Reid et al. 2012,0.78,0.35,BT4_246_g8s2,Cameca ims-1270 ion probe,,0.76,799.4805199,6.807946333027333,1.3889827606333434,8.609809844568783,0.3040786363216925,9.392940864030747,8.021864266158177,8.409228555979865,-0.6869615928138738,4.672671898783661,-1.0763978192616206,1.5333945059504819,2.5601001575347055,-1.5680571636460896,4.479770689291406,3.6018379324881433,6.096083890065168,5.211436486861445,6.697542579184864,5.162302061279419,7.234943001152382,5.6749885169864625,0.78,0.35,0.6788437540073805
"Bishop tuff, USA",Reid et al. 2012,0.78,0.35,BT4_246_g9s2,Cameca ims-1270 ion probe,,0.76,755.9795992,6.766076944134373,0.9178922627386977,8.510306271530597,-1.0121775598445004,9.425111506619597,7.2438311606365255,7.884563842594399,-3.302586971794583,4.1916417683995,-1.3255362366859151,1.5450769460927434,2.5737035734067177,-1.4809899366321326,4.364895676003144,3.482094386166372,5.987777179616769,5.109012034466551,6.589203626744486,5.062733057045517,7.1999470832897146,5.669373787512511,0.78,0.35,0.5269062278941806
"Bishop tuff, USA",Reid et al. 2012,0.78,0.35,BT4_246_g10s2,Cameca ims-1270 ion probe,,0.76,775.3411702,7.092554002563413,1.1323945169583725,8.536276224180089,2.3139934961687945,9.374228711953275,7.3510529269202705,8.069455079082216,-3.730813691947526,4.23641162128047,-2.0735000672478168,1.138985685303378,2.2090677142710473,-2.3967655721505072,4.2502209521547565,3.4108443978732232,5.943774940053337,5.083262454436771,6.593155670432324,5.0919622702823,7.232550171463713,5.713513931063056,0.78,0.35,0.48753063369881133
"Bishop tuff, USA",Reid et al. 2012,0.78,0.35,BT4_LV58_g1s1,Cameca ims-1270 ion probe,,0.76,736.1938375,7.150819544737613,0.6901887747898142,8.263266013246469,0.9646614658048002,9.459671227053644,6.975374987445463,7.87860374788825,-3.3724713046808477,3.463895615822406,-2.8686057181797886,0.445079761605476,1.7437802311441692,-2.7772938701076586,3.8579928602261,3.0803236696253955,5.681068214327517,4.83841825112015,6.376607440587844,4.899008972918168,7.056996462358476,5.536773809597912,0.78,0.35,0.40525906064981304
